RunId,iteration,Step,data_type,prob_new_patient,isolation_factor,cleaningDay,hcw_wash_rate,isolation_time,height,width,prob_transmission,HCW_related_infecs
25,1,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.01,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,0,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.07,"[0, 0, 3, 2, 3, 1, 0, 0, 0, 2, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 10, 0, 2, 1, 5, 7, 9]"
9,0,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.055,"[0, 0, 0, 0, 0, 1, 1, 4, 2, 0, 4, 2, 2, 4, 3, 4, 6, 4, 2, 2, 2, 4, 2, 2, 4, 1, 0, 3, 3, 2]"
35,1,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.06,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 1, 3, 2, 5, 4, 11, 2, 4, 16, 8, 12, 15, 3, 1, 7, 7, 4, 12]"
0,0,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.01,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,0,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.065,"[0, 0, 0, 0, 0, 0, 1, 2, 4, 4, 3, 3, 0, 3, 1, 4, 9, 8, 8, 10, 12, 14, 12, 21, 2, 3, 5, 11, 8, 14]"
2,0,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.02,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,0,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.08,"[0, 0, 0, 0, 0, 0, 0, 4, 4, 6, 5, 6, 7, 15, 12, 10, 24, 17, 3, 15, 12, 12, 23, 11, 1, 2, 1, 8, 13, 10]"
38,1,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.075,"[0, 1, 4, 10, 7, 11, 0, 4, 6, 7, 8, 18, 0, 3, 12, 16, 14, 16, 2, 5, 16, 9, 10, 18, 5, 9, 12, 11, 10, 22]"
8,0,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.05,"[0, 0, 0, 2, 1, 4, 1, 1, 0, 1, 2, 1, 0, 3, 2, 4, 2, 3, 0, 5, 5, 6, 5, 5, 1, 2, 0, 1, 2, 2]"
6,0,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.04,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
15,0,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.085,"[0, 0, 0, 2, 14, 10, 5, 4, 23, 26, 19, 23, 1, 0, 0, 2, 14, 16, 5, 12, 24, 18, 14, 19, 16, 16, 28, 29, 20, 18]"
10,0,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.06,"[0, 1, 3, 5, 8, 8, 1, 3, 3, 1, 2, 4, 2, 5, 4, 3, 3, 4, 0, 2, 4, 9, 9, 11, 5, 2, 2, 4, 2, 5]"
37,1,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.07,"[0, 0, 3, 2, 7, 8, 0, 0, 0, 0, 0, 0, 3, 3, 1, 5, 6, 4, 0, 0, 0, 0, 0, 3, 7, 5, 8, 8, 16, 11]"
44,1,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.105,"[0, 0, 0, 0, 0, 0, 0, 3, 9, 15, 22, 22, 16, 15, 21, 29, 28, 29, 25, 21, 27, 24, 18, 28, 18, 22, 28, 31, 29, 27]"
5,0,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.035,"[0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 1, 1, 2, 3, 3, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
45,1,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.11,"[0, 0, 2, 25, 33, 29, 19, 23, 28, 24, 37, 31, 30, 31, 22, 22, 27, 29, 25, 23, 30, 33, 32, 26, 14, 27, 23, 29, 25, 21]"
16,0,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.09,"[0, 3, 13, 25, 43, 20, 14, 18, 23, 18, 29, 29, 18, 16, 25, 28, 22, 21, 14, 23, 28, 21, 20, 24, 10, 18, 26, 33, 21, 21]"
48,1,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.125,"[0, 5, 32, 19, 35, 31, 19, 29, 35, 27, 33, 27, 23, 31, 29, 38, 26, 26, 23, 26, 27, 35, 29, 34, 25, 34, 38, 49, 25, 33]"
47,1,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.12,"[0, 0, 12, 31, 32, 22, 27, 19, 29, 21, 37, 22, 4, 33, 40, 26, 28, 34, 31, 17, 25, 19, 21, 28, 28, 35, 28, 39, 27, 26]"
27,1,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.02,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,1,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.015,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,0,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.015,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,1,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.035,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 2, 0]"
4,0,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.03,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
28,1,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.025,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
29,1,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.03,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
