,cleaningDay,Run,HCW_related_infecs,Number_of_Patients_sick,prob_patient_sick,prob_new_patient,prob_transmission,isolation_factor,isolate_sick,isolation_time,icu_hcw_wash_rate,outside_hcw_wash_rate,height,width
0,30,0,1,5,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
1,30,1,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
2,30,2,0,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
3,30,3,0,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
4,30,4,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
5,30,5,1,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
6,30,6,1,0,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
7,30,7,1,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
8,30,8,1,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
9,30,9,3,0,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
10,30,10,2,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
11,30,11,1,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
12,30,12,1,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
13,30,13,0,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
14,30,14,4,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
15,30,15,1,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
16,30,16,1,0,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
17,30,17,2,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
18,30,18,3,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
19,30,19,0,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
20,30,20,1,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
21,30,21,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
22,30,22,0,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
23,30,23,0,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
24,30,24,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
