,icu_hcw_wash_rate,outside_hcw_wash_rate,Run,HCW_related_infecs,Number_of_Patients_sick,num_HCWs,num_Patients,num_Goo,prob_patient_sick,prob_new_patient,cleaningDay,isolate_sick,prob_transmission,isolation_factor,height,width
0,0.89,0.89,0,418,5,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
1,0.89,0.89,1,442,8,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
2,0.89,0.89,2,439,9,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
3,0.89,0.89,3,339,1,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
4,0.89,0.89,4,456,6,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
5,0.89,0.89,5,403,9,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
6,0.89,0.89,6,457,10,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
7,0.89,0.89,7,462,4,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
8,0.89,0.89,8,487,7,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
9,0.89,0.89,9,451,4,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
10,0.89,0.92,10,446,8,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
11,0.89,0.92,11,487,8,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
12,0.89,0.92,12,465,3,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
13,0.89,0.92,13,451,10,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
14,0.89,0.92,14,445,7,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
15,0.89,0.92,15,435,7,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
16,0.89,0.92,16,492,2,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
17,0.89,0.92,17,466,6,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
18,0.89,0.92,18,474,9,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
19,0.89,0.92,19,452,9,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
20,0.89,0.95,20,434,11,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
21,0.89,0.95,21,396,0,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
22,0.89,0.95,22,503,8,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
23,0.89,0.95,23,456,4,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
24,0.89,0.95,24,455,6,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
25,0.89,0.95,25,472,2,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
26,0.89,0.95,26,464,4,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
27,0.89,0.95,27,489,7,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
28,0.89,0.95,28,486,9,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
29,0.89,0.95,29,462,6,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
30,0.89,0.98,30,464,10,4,30,4,0.01,0.003,180,True,0.001,0.5,11,32
