prob_transmission,,HCW related infections,Cumulative Patients
1e-06,0,0,311
1e-06,1,0,351
1e-06,2,0,353
1e-06,3,0,319
1e-06,4,0,328
1e-06,5,0,321
1e-06,6,0,369
1e-06,7,0,306
1e-06,8,1,310
1e-06,9,0,324
1e-06,10,0,349
1e-06,11,1,339
1e-06,12,0,299
1e-06,13,0,319
1e-06,14,0,344
1e-06,15,0,337
1e-06,16,0,323
1e-06,17,0,307
1e-06,18,1,280
1e-06,19,0,283
1e-06,20,0,326
1e-06,21,0,356
1e-06,22,0,343
1e-06,23,0,314
1e-06,24,0,306
1e-06,25,0,335
1e-06,26,0,329
1e-06,27,0,336
1e-06,28,0,309
1e-06,29,0,302
1e-06,30,0,353
1e-06,31,2,330
1e-06,32,0,330
1e-06,33,0,304
1e-06,34,0,283
1e-06,35,0,292
1e-06,36,0,319
1e-06,37,1,306
1e-06,38,0,315
1e-06,39,0,295
1e-06,40,0,314
1e-06,41,0,335
1e-06,42,0,296
1e-06,43,0,350
1e-06,44,0,293
1e-06,45,0,330
1e-06,46,0,339
1e-06,47,0,305
1e-06,48,1,316
1e-06,49,0,317
1e-05,0,2,326
1e-05,1,1,336
1e-05,2,0,322
1e-05,3,0,351
1e-05,4,0,353
1e-05,5,0,350
1e-05,6,1,319
1e-05,7,1,322
1e-05,8,4,321
1e-05,9,1,305
1e-05,10,0,358
1e-05,11,2,302
1e-05,12,0,275
1e-05,13,1,323
1e-05,14,0,290
1e-05,15,2,342
1e-05,16,2,316
1e-05,17,0,323
1e-05,18,1,302
1e-05,19,3,320
1e-05,20,1,328
1e-05,21,1,349
1e-05,22,1,330
1e-05,23,0,314
1e-05,24,1,300
1e-05,25,2,308
1e-05,26,1,321
1e-05,27,2,301
1e-05,28,0,296
1e-05,29,2,323
1e-05,30,1,300
1e-05,31,0,363
1e-05,32,1,337
1e-05,33,1,326
1e-05,34,1,329
1e-05,35,0,313
1e-05,36,1,325
1e-05,37,1,340
1e-05,38,0,321
1e-05,39,0,325
1e-05,40,3,324
1e-05,41,1,332
1e-05,42,2,333
1e-05,43,0,319
1e-05,44,1,334
1e-05,45,0,350
1e-05,46,1,285
1e-05,47,2,317
1e-05,48,1,326
1e-05,49,1,316
0.0001,0,12,326
0.0001,1,12,351
0.0001,2,8,366
0.0001,3,4,283
0.0001,4,12,279
0.0001,5,6,310
0.0001,6,10,302
0.0001,7,12,304
0.0001,8,9,314
0.0001,9,9,267
0.0001,10,8,334
0.0001,11,9,307
0.0001,12,11,289
0.0001,13,8,357
0.0001,14,9,297
0.0001,15,14,304
0.0001,16,8,318
0.0001,17,10,324
0.0001,18,12,331
0.0001,19,7,304
0.0001,20,9,305
0.0001,21,12,317
0.0001,22,8,355
0.0001,23,11,326
0.0001,24,7,323
0.0001,25,12,330
0.0001,26,9,336
0.0001,27,7,283
0.0001,28,10,334
0.0001,29,5,331
0.0001,30,7,304
0.0001,31,9,316
0.0001,32,6,290
0.0001,33,10,313
0.0001,34,8,283
0.0001,35,11,306
0.0001,36,6,318
0.0001,37,10,307
0.0001,38,10,319
0.0001,39,8,313
0.0001,40,10,355
0.0001,41,11,320
0.0001,42,12,302
0.0001,43,13,298
0.0001,44,9,328
0.0001,45,12,318
0.0001,46,13,301
0.0001,47,9,316
0.0001,48,8,285
0.0001,49,15,325
0.001,0,71,288
0.001,1,64,311
0.001,2,71,336
0.001,3,80,284
0.001,4,78,300
0.001,5,70,325
0.001,6,83,337
0.001,7,63,277
0.001,8,76,285
0.001,9,77,336
0.001,10,72,299
0.001,11,65,328
0.001,12,74,323
0.001,13,57,281
0.001,14,65,282
0.001,15,69,280
0.001,16,74,312
0.001,17,69,333
0.001,18,65,306
0.001,19,65,311
0.001,20,79,289
0.001,21,76,318
0.001,22,58,270
0.001,23,64,294
0.001,24,65,280
0.001,25,75,301
0.001,26,72,299
0.001,27,73,315
0.001,28,80,292
0.001,29,68,277
0.001,30,66,264
0.001,31,70,295
0.001,32,81,304
0.001,33,71,318
0.001,34,67,308
0.001,35,72,301
0.001,36,72,303
0.001,37,68,323
0.001,38,74,325
0.001,39,75,295
0.001,40,71,297
0.001,41,76,302
0.001,42,66,289
0.001,43,69,299
0.001,44,77,306
0.001,45,69,301
0.001,46,66,263
0.001,47,63,319
0.001,48,55,281
0.001,49,66,289
