,prob_transmission,Run,Number_of_Patients_sick,prob_patient_sick,prob_new_patient,isolation_factor,cleaningDay,isolate_sick,isolation_time,icu_hcw_wash_rate,outside_hcw_wash_rate,height,width
0,1e-05,0,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
1,1e-05,1,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
2,1e-05,2,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
3,1e-05,3,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
4,1e-05,4,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
5,1e-05,5,4,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
6,1e-05,6,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
7,1e-05,7,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
8,1e-05,8,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
9,1e-05,9,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
10,2e-05,10,6,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
11,2e-05,11,5,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
12,2e-05,12,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
13,2e-05,13,4,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
14,2e-05,14,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
15,2e-05,15,4,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
16,2e-05,16,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
17,2e-05,17,5,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
18,2e-05,18,4,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
19,2e-05,19,0,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
20,3e-05,20,5,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
21,3e-05,21,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
22,3e-05,22,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
23,3e-05,23,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
24,3e-05,24,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
25,3e-05,25,4,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
26,3e-05,26,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
27,3e-05,27,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
28,3e-05,28,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
29,3e-05,29,0,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
30,4e-05,30,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
31,4e-05,31,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
32,4e-05,32,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
33,4e-05,33,4,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
34,4e-05,34,6,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
35,4e-05,35,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
36,4e-05,36,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
37,4e-05,37,0,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
38,4e-05,38,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
39,4e-05,39,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
40,5e-05,40,5,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
41,5e-05,41,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
42,5e-05,42,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
43,5e-05,43,5,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
44,5e-05,44,4,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
45,5e-05,45,4,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
46,5e-05,46,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
47,5e-05,47,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
48,5e-05,48,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
49,5e-05,49,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
50,6e-05,50,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
51,6e-05,51,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
52,6e-05,52,5,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
53,6e-05,53,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
54,6e-05,54,5,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
55,6e-05,55,4,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
56,6e-05,56,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
57,6e-05,57,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
58,6e-05,58,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
59,6e-05,59,4,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
60,7e-05,60,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
61,7e-05,61,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
62,7e-05,62,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
63,7e-05,63,4,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
