,prob_transmission,Run,Number_of_Patients_sick,prob_patient_sick,prob_new_patient,isolation_factor,cleaningDay,isolate_sick,isolation_time,icu_hcw_wash_rate,outside_hcw_wash_rate,height,width
0,1e-07,0,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
1,1e-07,1,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
2,1e-07,2,0,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
3,1e-07,3,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
4,1e-07,4,4,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
5,1e-07,5,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
6,1e-07,6,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
7,1e-07,7,6,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
8,1e-07,8,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
9,1e-07,9,4,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
10,1e-06,10,5,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
11,1e-06,11,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
12,1e-06,12,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
13,1e-06,13,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
14,1e-06,14,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
15,1e-06,15,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
16,1e-06,16,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
17,1e-06,17,0,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
18,1e-06,18,0,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
19,1e-06,19,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
20,1e-05,20,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
21,1e-05,21,4,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
22,1e-05,22,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
23,1e-05,23,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
24,1e-05,24,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
25,1e-05,25,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
26,1e-05,26,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
27,1e-05,27,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
28,1e-05,28,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
29,1e-05,29,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
30,0.0001,30,4,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
31,0.0001,31,6,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
32,0.0001,32,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
33,0.0001,33,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
34,0.0001,34,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
35,0.0001,35,0,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
36,0.0001,36,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
37,0.0001,37,5,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
38,0.0001,38,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
39,0.0001,39,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
40,0.001,40,11,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
41,0.001,41,7,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
42,0.001,42,4,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
43,0.001,43,7,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
44,0.001,44,7,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
45,0.001,45,6,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
46,0.001,46,5,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
47,0.001,47,5,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
48,0.001,48,4,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
49,0.001,49,7,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
