d3,d4,d5,d6,d7,a4,a5,a6,a7
,2,0,0,3,2,0,0,3
,5,3,0,4,3.5,1.5,0,3.5
,3,2,1,3,3.333333333,1.666666667,0.333333333,3.333333333
,2,1,3,1,3,1.5,1,2.75
,3,2,3,2,3,1.6,1.4,2.6
,1,3,1,3,2.666666667,1.833333333,1.333333333,2.666666667
,2,1,4,5,2.571428571,1.714285714,1.714285714,3
,3,2,4,4,2.625,1.75,2,3.125
,2,3,3,1,2.555555556,1.888888889,2.111111111,2.888888889
,1,3,3,2,2.4,2,2.2,2.8
,1,3,0,2,2.272727273,2.090909091,2,2.727272727
,2,3,2,0,2.25,2.166666667,2,2.5
,1,3,2,0,2.153846154,2.230769231,2,2.307692308
,4,2,2,1,2.285714286,2.214285714,2,2.214285714
,4,2,0,1,2.4,2.2,1.866666667,2.133333333
,3,0,1,2,2.4375,2.0625,1.8125,2.125
,2,2,1,1,2.411764706,2.058823529,1.764705882,2.058823529
,3,3,1,3,2.444444444,2.111111111,1.722222222,2.111111111
,2,0,1,2,2.421052632,2,1.684210526,2.105263158
,4,1,5,3,2.5,1.95,1.85,2.15
,3,3,1,2,2.523809524,2,1.80952381,2.142857143
,3,2,2,5,2.545454545,2,1.818181818,2.272727273
,2,3,2,2,2.52173913,2.043478261,1.826086957,2.260869565
,3,2,2,2,2.541666667,2.041666667,1.833333333,2.25
,5,5,6,1,2.64,2.16,2,2.2
,4,0,1,2,2.692307692,2.076923077,1.961538462,2.192307692
,4,2,3,1,2.740740741,2.074074074,2,2.148148148
,5,1,2,1,2.821428571,2.035714286,2,2.107142857
,2,4,1,2,2.793103448,2.103448276,1.965517241,2.103448276
,1,3,3,1,2.733333333,2.133333333,2,2.066666667
,3,6,2,2,2.741935484,2.258064516,2,2.064516129
,6,2,4,3,2.84375,2.25,2.0625,2.09375
,3,3,4,2,2.848484848,2.272727273,2.121212121,2.090909091
,3,1,5,0,2.852941176,2.235294118,2.205882353,2.029411765
,4,2,4,2,2.885714286,2.228571429,2.257142857,2.028571429
,5,4,1,0,2.944444444,2.277777778,2.222222222,1.972222222
,4,1,2,0,2.972972973,2.243243243,2.216216216,1.918918919
,1,4,2,2,2.921052632,2.289473684,2.210526316,1.921052632
,0,2,0,2,2.846153846,2.282051282,2.153846154,1.923076923
,2,1,4,4,2.825,2.25,2.2,1.975
,3,3,3,0,2.829268293,2.268292683,2.219512195,1.926829268
,4,2,3,0,2.857142857,2.261904762,2.238095238,1.880952381
,4,2,3,2,2.88372093,2.255813953,2.255813953,1.88372093
,1,2,3,2,2.840909091,2.25,2.272727273,1.886363636
,2,0,1,4,2.822222222,2.2,2.244444444,1.933333333
,4,2,1,1,2.847826087,2.195652174,2.217391304,1.913043478
,2,2,3,2,2.829787234,2.191489362,2.234042553,1.914893617
,0,3,3,2,2.770833333,2.208333333,2.25,1.916666667
,2,1,2,1,2.755102041,2.183673469,2.244897959,1.897959184
,4,3,2,1,2.78,2.2,2.24,1.88
