,0.0161,0.0181,0.0201
0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 14, 17, 2, 0, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
1,"[0, 0, 0, 5, 10, 17, 3, 0, 2, 1, 2, 1, 2, 2, 2, 2, 2, 1, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 22, 11, 3, 4, 4, 4, 3, 4, 2, 5, 3, 4, 4, 4]"
2,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 14, 14, 4, 2, 1, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20]","[0, 0, 0, 8, 21, 5, 2, 2, 2, 1, 3, 1, 2, 2, 2, 2, 2, 2, 2]"
3,"[0, 0, 0, 0, 0, 8, 14, 11, 7, 2, 5, 4, 4, 3, 3, 4, 4, 5, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 11, 4, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 17, 3, 3, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 13, 17, 8, 5, 5, 3, 5, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20, 9, 2, 2, 2, 2, 2, 2, 2]"
8,"[0, 0, 0, 0, 0, 4, 9, 12, 14, 3, 5, 3, 4, 3, 5, 5, 3, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 6, 2, 2, 2, 2, 2, 2]"
9,"[0, 0, 0, 0, 0, 3, 29, 6, 7, 5, 5, 5, 7, 5, 6, 7, 6, 5, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,"[0, 0, 0, 7, 9, 16, 8, 4, 4, 2, 4, 4, 4, 3, 5, 5, 4, 3, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 8, 18, 4, 2, 2, 2]"
11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 20, 9, 1, 2, 2, 2, 2, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 10, 4, 4, 4, 4, 3, 4, 4]"
12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 20, 8, 6, 5, 7, 5, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 2, 10, 3, 3, 1, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,"[0, 0, 0, 0, 0, 5, 6, 2, 7, 13, 5, 1, 3, 1, 2, 2, 3, 1, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 17, 7, 6, 6, 6, 6, 5, 7, 5]"
14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 22, 7, 3, 2, 2, 1, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 9, 13, 15, 3, 4, 4, 4, 5, 3, 4, 2, 5, 4, 4, 4, 4]"
18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,"[0, 0, 0, 2, 18, 9, 3, 2, 3, 1, 2, 1, 2, 2, 2, 2, 2, 1, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23, 7, 4, 4, 4, 4, 5, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 14, 2, 2, 2, 2, 3, 2, 1, 2]"
21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 3, 15, 13, 7, 5, 6, 6, 4, 6, 6, 7, 5, 4, 6]"
22,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 17, 4, 4, 4, 4, 4, 4, 4]"
23,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 12, 5, 3, 4, 3, 3, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25, 6, 4, 3, 5, 5, 4, 3, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 24, 6, 6, 5, 6, 6, 7, 6, 5]"
24,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 17, 3, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 16, 19, 3, 4, 4, 4, 4, 4, 1, 5, 4, 4, 4, 4]"
25,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 19, 5, 2, 2, 3, 2, 1, 2]","[0, 0, 0, 18, 12, 5, 4, 2, 4, 4, 3, 4, 3, 3, 5, 4, 3, 3, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 11, 19, 10, 6, 6, 4, 6, 5, 4, 6, 6, 5, 6, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 17, 4, 4, 4, 4, 4, 4]"
27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 19, 2, 2, 2, 2, 2, 2, 2, 2]"
28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
