,0.007,0.008,0.009,0.01
0,37,43,0,0
1,1,0,0,0
2,0,0,1,0
3,1,0,0,1
4,0,0,20,0
5,1,0,1,15
6,0,0,0,0
7,0,0,95,107
8,53,1,0,0
9,0,3,0,0
10,0,0,7,52
11,0,10,8,19
12,14,31,8,116
13,1,0,0,0
14,0,0,37,0
15,0,1,42,0
16,0,0,0,0
17,0,0,25,0
18,0,1,0,0
19,77,0,1,0
20,50,0,44,65
21,25,1,31,0
22,0,0,1,0
23,0,89,1,26
24,0,1,0,0
25,16,0,11,0
26,0,0,0,0
27,0,16,1,0
28,42,19,0,0
29,0,0,1,0
30,0,0,13,0
31,0,1,0,110
32,0,5,17,0
33,0,16,0,0
34,1,46,0,1
35,0,0,0,40
36,0,0,16,0
37,0,0,6,56
38,0,0,1,3
39,1,1,0,0
40,0,0,0,13
41,24,0,0,0
42,0,12,0,74
43,0,0,0,0
44,32,0,0,0
45,3,0,0,0
46,1,1,20,0
47,1,0,51,0
48,0,18,0,9
49,0,0,46,1
