,0.0035,0.004,0.0045
0,0,30,2
1,4,1,37
2,16,38,20
3,17,0,53
4,2,36,29
5,8,11,21
6,3,10,40
7,23,1,2
8,19,23,0
9,3,34,11
10,7,5,25
11,12,31,2
12,2,0,3
13,0,27,0
14,1,11,0
15,6,23,19
16,9,22,28
17,1,5,12
18,35,7,0
19,14,44,64
20,0,1,14
21,1,0,2
22,6,2,17
23,27,10,5
24,13,1,12
25,3,4,35
26,0,3,20
27,1,16,7
28,7,2,37
29,46,1,35
30,2,1,0
31,8,18,45
32,3,31,38
33,2,3,19
34,3,41,1
35,23,11,1
36,18,24,65
37,1,3,60
38,11,39,2
39,2,0,22
40,9,1,6
41,19,8,7
42,10,1,37
43,49,22,0
44,9,28,4
45,1,11,1
46,13,0,16
47,2,7,29
48,1,9,17
49,3,14,0
