prob_transmission,,HCW related infections,Cumulative Patients
0.005,0,0,457
0.005,1,0,409
0.005,2,0,370
0.005,3,0,387
0.005,4,0,360
0.005,5,0,345
0.005,6,0,431
0.005,7,0,340
0.005,8,0,417
0.005,9,0,413
0.005,10,66,398
0.005,11,0,380
0.005,12,0,299
0.005,13,0,412
0.005,14,0,378
0.005,15,0,313
0.005,16,0,363
0.005,17,0,309
0.005,18,0,388
0.005,19,0,425
0.005,20,7,329
0.005,21,0,388
0.005,22,0,357
0.005,23,0,342
0.005,24,45,371
0.005,25,0,390
0.005,26,0,380
0.005,27,0,374
0.005,28,38,266
0.005,29,0,322
0.005,30,0,442
0.005,31,0,357
0.005,32,0,382
0.005,33,1,440
0.005,34,0,318
0.005,35,0,385
0.005,36,0,429
0.005,37,0,431
0.005,38,0,451
0.005,39,53,444
0.005,40,0,324
0.005,41,0,395
0.005,42,46,374
0.005,43,0,467
0.005,44,12,351
0.005,45,0,386
0.005,46,9,360
0.005,47,4,312
0.005,48,10,325
0.005,49,0,361
0.01,0,0,361
0.01,1,0,313
0.01,2,44,404
0.01,3,4,372
0.01,4,0,414
0.01,5,0,267
0.01,6,0,359
0.01,7,0,388
0.01,8,0,344
0.01,9,117,401
0.01,10,0,441
0.01,11,0,300
0.01,12,0,380
0.01,13,0,358
0.01,14,0,351
0.01,15,0,386
0.01,16,0,434
0.01,17,0,400
0.01,18,0,449
0.01,19,1,416
0.01,20,0,410
0.01,21,0,322
0.01,22,11,386
0.01,23,0,431
0.01,24,1,423
0.01,25,0,391
0.01,26,0,421
0.01,27,39,365
0.01,28,124,364
0.01,29,0,339
0.01,30,0,353
0.01,31,2,345
0.01,32,0,422
0.01,33,0,392
0.01,34,0,399
0.01,35,0,300
0.01,36,0,426
0.01,37,33,405
0.01,38,0,274
0.01,39,0,331
0.01,40,0,400
0.01,41,0,330
0.01,42,0,307
0.01,43,0,329
0.01,44,2,361
0.01,45,29,378
0.01,46,163,377
0.01,47,21,406
0.01,48,107,359
0.01,49,131,390
