prob_transmission,,HCW related infections,Cumulative Patients
0.01,0,0,428
0.01,1,1,434
0.01,2,0,320
0.01,3,0,321
0.01,4,1,354
0.01,5,126,364
0.01,6,0,358
0.01,7,0,402
0.01,8,0,366
0.01,9,0,402
0.01,10,137,334
0.01,11,0,418
0.01,12,0,317
0.01,13,0,332
0.01,14,0,413
0.01,15,0,274
0.01,16,114,337
0.01,17,47,330
0.01,18,199,391
0.01,19,0,433
0.01,20,0,438
0.01,21,0,428
0.01,22,0,377
0.01,23,0,359
0.01,24,0,419
0.01,25,89,352
0.01,26,0,426
0.01,27,0,341
0.01,28,0,274
0.01,29,0,381
0.01,30,1,378
0.01,31,0,421
0.01,32,0,468
0.01,33,0,410
0.01,34,0,365
0.01,35,0,354
0.01,36,160,375
0.01,37,0,361
0.01,38,124,371
0.01,39,0,396
0.01,40,0,331
0.01,41,0,356
0.01,42,0,419
0.01,43,0,288
0.01,44,0,375
0.01,45,1,418
0.01,46,0,398
0.01,47,0,342
0.01,48,0,424
0.01,49,0,401
0.05,0,0,387
0.05,1,0,389
0.05,2,288,406
0.05,3,0,403
0.05,4,0,410
0.05,5,0,405
0.05,6,0,411
0.05,7,269,366
0.05,8,0,455
0.05,9,0,476
0.05,10,0,506
0.05,11,319,379
0.05,12,0,422
0.05,13,0,471
0.05,14,0,421
0.05,15,287,375
0.05,16,0,430
0.05,17,298,372
0.05,18,255,349
0.05,19,349,408
0.05,20,270,353
0.05,21,0,441
0.05,22,292,374
0.05,23,318,392
0.05,24,0,327
0.05,25,229,350
0.05,26,308,378
0.05,27,0,409
0.05,28,0,410
0.05,29,0,383
0.05,30,0,481
0.05,31,337,389
0.05,32,341,422
0.05,33,334,389
0.05,34,0,386
0.05,35,308,411
0.05,36,0,494
0.05,37,334,412
0.05,38,0,432
0.05,39,0,419
0.05,40,0,329
0.05,41,300,391
0.05,42,0,430
0.05,43,0,351
0.05,44,325,409
0.05,45,293,406
0.05,46,296,380
0.05,47,0,366
0.05,48,0,411
0.05,49,320,398
0.1,0,356,395
0.1,1,273,358
0.1,2,380,413
0.1,3,353,406
0.1,4,0,320
0.1,5,347,395
0.1,6,0,429
0.1,7,350,397
0.1,8,0,294
0.1,9,339,397
0.1,10,350,406
0.1,11,0,436
0.1,12,0,383
0.1,13,263,404
0.1,14,0,349
0.1,15,0,360
0.1,16,349,404
0.1,17,361,403
0.1,18,346,392
0.1,19,0,421
0.1,20,287,354
0.1,21,353,397
0.1,22,0,478
0.1,23,343,400
0.1,24,333,384
0.1,25,251,350
0.1,26,334,404
0.1,27,326,376
0.1,28,329,387
0.1,29,1,435
0.1,30,364,407
0.1,31,368,413
0.1,32,357,406
0.1,33,344,403
0.1,34,0,416
0.1,35,0,435
0.1,36,329,389
0.1,37,0,405
0.1,38,336,386
0.1,39,320,382
0.1,40,346,375
0.1,41,0,309
0.1,42,0,353
0.1,43,0,392
0.1,44,358,394
0.1,45,0,388
0.1,46,0,358
0.1,47,0,332
0.1,48,246,315
0.1,49,352,387
0.5,0,362,376
0.5,1,357,367
0.5,2,374,384
0.5,3,377,385
0.5,4,359,374
0.5,5,355,382
0.5,6,352,373
0.5,7,378,389
0.5,8,352,358
0.5,9,363,386
0.5,10,374,390
0.5,11,372,381
0.5,12,383,394
0.5,13,372,386
0.5,14,0,391
0.5,15,370,379
0.5,16,378,388
0.5,17,360,376
0.5,18,381,398
0.5,19,378,390
0.5,20,364,380
0.5,21,367,378
0.5,22,371,380
0.5,23,354,378
0.5,24,379,394
0.5,25,360,374
0.5,26,349,372
0.5,27,353,386
0.5,28,360,368
0.5,29,374,390
0.5,30,362,367
0.5,31,384,397
0.5,32,378,390
0.5,33,375,389
0.5,34,0,453
0.5,35,0,389
0.5,36,387,392
0.5,37,0,392
0.5,38,367,376
0.5,39,364,382
0.5,40,374,395
0.5,41,360,375
0.5,42,377,383
0.5,43,371,383
0.5,44,364,369
0.5,45,383,389
0.5,46,0,461
0.5,47,358,372
0.5,48,368,379
0.5,49,0,304
