prob_transmission,,HCW related infections,Cumulative Patients
0.003,0,0,424
0.003,1,29,397
0.003,2,10,408
0.003,3,0,432
0.003,4,0,374
0.003,5,1,384
0.003,6,0,409
0.003,7,0,419
0.003,8,0,373
0.003,9,0,384
0.003,10,0,438
0.003,11,0,438
0.003,12,0,403
0.003,13,29,453
0.003,14,0,374
0.003,15,0,401
0.003,16,1,439
0.003,17,0,402
0.003,18,0,353
0.003,19,0,385
0.003,20,0,405
0.003,21,0,390
0.003,22,1,415
0.003,23,0,458
0.003,24,0,425
0.003,25,0,354
0.003,26,0,404
0.003,27,0,374
0.003,28,0,438
0.003,29,0,403
0.003,30,39,346
0.003,31,1,417
0.003,32,0,377
0.003,33,0,425
0.003,34,0,375
0.003,35,0,502
0.003,36,0,370
0.003,37,0,351
0.003,38,0,437
0.003,39,0,450
0.003,40,0,386
0.003,41,0,447
0.003,42,19,373
0.003,43,0,416
0.003,44,0,399
0.003,45,0,335
0.003,46,0,405
0.003,47,0,452
0.003,48,0,361
0.003,49,38,407
0.005,0,0,387
0.005,1,0,352
0.005,2,0,425
0.005,3,0,445
0.005,4,0,426
0.005,5,0,325
0.005,6,0,426
0.005,7,0,350
0.005,8,101,452
0.005,9,44,432
0.005,10,17,438
0.005,11,0,455
0.005,12,0,364
0.005,13,32,300
0.005,14,1,380
0.005,15,0,370
0.005,16,0,322
0.005,17,0,410
0.005,18,0,428
0.005,19,0,401
0.005,20,0,409
0.005,21,0,385
0.005,22,0,345
0.005,23,0,415
0.005,24,0,425
0.005,25,0,450
0.005,26,0,455
0.005,27,0,383
0.005,28,0,403
0.005,29,0,366
0.005,30,50,335
0.005,31,0,431
0.005,32,0,410
0.005,33,0,427
0.005,34,0,444
0.005,35,0,388
0.005,36,0,439
0.005,37,0,392
0.005,38,0,390
0.005,39,0,373
0.005,40,0,397
0.005,41,0,359
0.005,42,0,307
0.005,43,40,316
0.005,44,0,332
0.005,45,0,413
0.005,46,0,470
0.005,47,0,371
0.005,48,56,339
0.005,49,0,385
0.007,0,0,416
0.007,1,0,310
0.007,2,0,372
0.007,3,0,412
0.007,4,0,397
0.007,5,23,448
0.007,6,0,348
0.007,7,10,290
0.007,8,41,387
0.007,9,0,392
0.007,10,0,387
0.007,11,0,327
0.007,12,0,330
0.007,13,0,334
0.007,14,0,393
0.007,15,0,374
0.007,16,0,438
0.007,17,0,334
0.007,18,0,384
0.007,19,0,403
0.007,20,0,406
0.007,21,0,412
0.007,22,0,424
0.007,23,0,389
0.007,24,47,417
0.007,25,0,387
0.007,26,0,425
0.007,27,0,460
0.007,28,0,322
0.007,29,0,379
0.007,30,97,379
0.007,31,0,315
0.007,32,0,460
0.007,33,0,387
0.007,34,0,375
0.007,35,0,325
0.007,36,118,393
0.007,37,1,387
0.007,38,0,427
0.007,39,0,333
0.007,40,0,396
0.007,41,0,389
0.007,42,119,367
0.007,43,0,369
0.007,44,0,401
0.007,45,0,351
0.007,46,0,424
0.007,47,0,402
0.007,48,0,363
0.007,49,0,454
0.009,0,0,367
0.009,1,0,329
0.009,2,0,384
0.009,3,1,375
0.009,4,0,356
0.009,5,0,442
0.009,6,0,371
0.009,7,109,406
0.009,8,0,379
0.009,9,62,377
0.009,10,0,399
0.009,11,94,375
0.009,12,117,407
0.009,13,0,391
0.009,14,128,397
0.009,15,0,371
0.009,16,0,354
0.009,17,0,380
0.009,18,0,403
0.009,19,0,359
0.009,20,1,442
0.009,21,0,410
0.009,22,170,399
0.009,23,0,348
0.009,24,0,390
0.009,25,0,401
0.009,26,0,410
0.009,27,0,492
0.009,28,0,365
0.009,29,0,368
0.009,30,0,341
0.009,31,0,391
0.009,32,0,401
0.009,33,1,312
0.009,34,0,370
0.009,35,0,434
0.009,36,100,420
0.009,37,123,411
0.009,38,0,403
0.009,39,0,386
0.009,40,0,369
0.009,41,152,384
0.009,42,107,372
0.009,43,0,339
0.009,44,111,338
0.009,45,0,386
0.009,46,0,391
0.009,47,0,312
0.009,48,0,404
0.009,49,0,404
