,3,7,10,14
0,3,12,8,12
1,6,16,14,11
2,12,5,11,5
3,5,13,14,13
4,11,14,10,12
5,5,8,8,16
6,13,10,8,13
7,6,11,13,12
8,11,10,14,16
9,3,17,11,11
10,9,11,12,9
11,10,10,16,13
12,12,10,9,11
13,9,8,9,10
14,12,6,8,9
15,11,9,13,8
16,11,10,9,10
17,6,19,12,13
18,5,10,8,11
19,18,8,9,9
20,7,13,15,11
21,10,19,9,11
22,16,7,8,7
23,12,12,12,7
24,9,10,10,8
25,9,12,13,11
26,14,11,10,10
27,6,11,7,7
28,8,10,12,9
29,13,15,15,11
30,15,11,7,13
31,11,8,7,10
32,7,8,10,8
33,13,7,9,13
34,11,10,12,9
35,13,12,13,10
36,8,12,8,13
37,9,9,12,11
38,9,9,9,12
39,13,12,13,10
40,11,17,10,14
41,12,8,12,11
42,10,12,11,8
43,8,8,13,14
44,13,9,6,5
45,8,9,6,13
46,13,8,7,5
47,13,10,15,17
48,11,16,14,16
49,8,8,16,8
50,18,11,9,10
51,12,3,8,17
52,9,5,11,11
53,7,12,10,12
54,12,14,9,7
55,13,15,10,12
56,12,4,11,6
57,14,15,17,8
58,13,10,13,9
59,8,12,6,9
60,17,6,12,9
61,10,10,9,2
62,10,11,13,10
63,8,9,13,12
64,12,8,10,17
65,7,8,13,12
66,6,8,7,11
67,7,9,8,6
68,9,9,11,6
69,14,10,12,12
70,8,5,13,10
71,12,9,6,6
72,9,9,10,9
73,6,15,17,8
74,13,12,6,10
75,5,12,10,12
76,13,15,7,12
77,16,14,8,9
78,11,12,13,12
79,8,15,11,6
80,12,9,6,6
81,7,9,7,6
82,8,13,11,5
83,10,10,6,14
84,6,7,11,13
85,9,10,10,9
86,8,7,11,12
87,4,11,9,14
88,6,8,11,13
89,5,11,6,6
90,5,5,13,4
91,20,10,10,13
92,12,10,16,12
93,10,15,13,9
94,11,8,8,14
95,13,14,10,12
96,12,10,15,8
97,18,8,8,9
98,8,11,9,7
99,9,10,10,11
100,13,13,7,9
101,10,6,8,12
102,11,11,7,12
103,14,8,11,8
104,5,10,12,9
105,17,7,12,10
106,10,8,5,22
107,8,8,12,3
108,5,10,14,7
109,12,14,9,9
110,8,9,12,6
111,13,6,17,16
112,11,8,11,12
113,5,10,14,11
114,11,11,8,14
115,11,15,6,14
116,12,11,10,14
117,12,8,7,13
118,10,12,11,15
119,8,10,13,7
120,9,6,9,3
121,7,16,12,13
122,14,7,12,8
123,13,11,11,5
124,10,8,8,12
125,20,10,13,10
126,9,14,11,10
127,6,14,5,11
128,9,11,8,16
129,7,10,7,20
130,9,7,9,13
131,9,19,14,10
132,16,7,7,16
133,7,11,15,10
134,15,14,7,10
135,9,9,8,8
136,13,7,7,8
137,11,7,13,12
138,11,2,15,11
139,13,9,8,15
140,10,11,9,13
141,20,9,11,10
142,12,12,9,11
143,20,7,3,5
144,13,11,3,9
145,13,9,10,12
146,13,8,7,9
147,13,9,15,13
148,7,7,9,12
149,7,13,7,13
150,10,8,12,10
151,9,10,14,12
152,9,12,10,12
153,7,6,9,14
154,8,18,11,17
155,8,7,8,15
156,14,11,8,13
157,7,15,7,12
158,14,11,9,6
159,8,10,12,12
160,9,11,6,9
161,10,9,14,15
162,13,12,13,7
163,7,15,8,9
164,12,10,12,12
165,9,10,6,6
166,11,12,9,7
167,18,8,7,6
168,9,15,7,9
169,8,9,7,13
170,11,10,6,12
171,10,10,5,18
172,6,3,11,9
173,7,11,17,5
174,7,15,7,10
175,14,5,10,11
176,9,9,7,17
177,14,12,9,8
178,7,9,10,13
179,10,4,12,12
180,12,14,10,10
181,14,9,10,5
182,11,10,10,11
183,11,8,13,10
184,12,14,20,9
185,9,11,13,8
186,11,10,9,8
187,8,8,7,17
188,8,7,7,12
189,7,10,11,9
190,8,7,7,9
191,9,13,14,10
192,11,10,4,8
193,11,9,6,8
194,7,8,11,12
195,13,11,14,8
196,14,8,10,14
197,9,6,12,11
198,14,11,15,10
199,16,8,14,9
200,13,10,8,8
201,4,10,9,8
202,13,7,13,5
203,9,16,10,11
204,10,9,11,9
205,12,7,9,7
206,8,5,10,6
207,9,15,8,9
208,7,10,13,8
209,7,11,11,15
210,8,5,5,11
211,11,7,12,17
212,15,5,12,13
213,19,12,15,8
214,12,5,7,11
215,12,12,8,10
216,16,7,10,8
217,5,9,11,8
218,15,11,6,13
219,9,11,4,18
220,8,13,10,7
221,11,7,16,14
222,10,8,9,8
223,13,10,7,11
224,11,11,7,11
225,11,10,9,12
226,10,12,11,15
227,15,7,13,10
228,9,9,7,8
229,11,10,11,12
230,14,8,5,7
231,13,10,7,8
232,12,11,10,9
233,7,9,6,13
234,12,11,11,12
235,12,7,16,4
236,11,13,4,12
237,9,9,12,14
238,4,10,9,7
239,16,16,10,15
240,6,14,9,16
241,10,8,10,9
242,10,7,8,10
243,13,8,7,5
244,11,10,11,6
245,10,16,8,10
246,12,9,19,18
247,9,12,11,8
248,6,6,7,16
249,9,7,10,13
250,15,10,11,12
251,12,12,12,15
252,7,8,14,8
253,14,7,8,14
254,8,11,16,7
255,12,10,6,10
256,11,7,7,9
257,8,9,7,12
258,12,9,8,6
259,12,4,7,10
260,9,12,10,9
261,8,11,12,8
262,14,14,10,4
263,13,12,9,12
264,9,15,13,17
265,11,14,12,8
266,14,14,8,9
267,14,12,9,9
268,9,16,7,11
269,8,16,13,7
270,10,11,9,10
271,13,11,6,11
272,8,9,12,7
273,14,11,6,9
274,17,7,11,15
275,10,14,9,14
276,14,5,9,10
277,10,12,8,10
278,11,10,11,8
279,20,13,7,13
280,11,9,11,5
281,15,10,14,8
282,8,10,10,7
283,12,8,12,9
284,14,7,5,8
285,16,10,15,13
286,11,14,11,10
287,5,10,9,12
288,18,15,8,16
289,10,12,13,10
290,5,11,18,13
291,12,13,12,8
292,6,10,10,13
293,8,11,7,7
294,4,14,11,10
295,12,11,11,4
296,13,11,10,11
297,9,7,11,9
298,10,11,13,6
299,3,13,15,11
300,11,6,11,8
301,9,13,12,8
302,7,16,12,6
303,19,12,11,7
304,13,10,6,11
305,11,14,13,11
306,8,11,11,13
307,8,7,8,11
308,6,9,10,13
309,12,13,8,7
310,13,9,9,13
311,10,9,7,7
312,9,6,7,13
313,13,9,10,11
314,8,10,9,10
315,16,15,17,18
316,13,15,12,13
317,9,10,16,9
318,12,7,10,6
319,13,9,14,9
320,11,12,8,8
321,11,5,15,19
322,15,10,9,14
323,16,3,10,16
324,7,16,11,14
325,9,12,12,11
326,10,8,13,12
327,8,10,12,8
328,2,6,8,9
329,9,12,8,7
330,8,16,12,10
331,15,13,9,10
332,7,9,11,15
333,10,11,9,17
334,8,8,12,6
335,8,10,10,7
336,4,13,10,8
337,12,15,9,10
338,11,12,12,11
339,12,8,6,9
340,13,7,8,7
341,6,8,12,14
342,10,11,5,9
343,12,12,11,9
344,12,12,4,11
345,16,13,9,13
346,12,11,10,6
347,12,13,9,7
348,11,4,10,10
349,11,9,7,10
350,12,13,11,9
351,11,7,13,11
352,7,9,10,15
353,9,13,9,4
354,6,8,11,8
355,9,10,15,11
356,11,8,12,11
357,9,5,6,10
358,13,10,5,13
359,8,15,14,12
360,8,10,10,10
361,10,12,8,10
362,7,5,9,13
363,10,10,9,10
364,10,6,13,5
365,8,6,11,14
366,9,14,8,9
367,6,9,9,8
368,12,15,7,3
369,11,12,10,10
370,9,11,14,12
371,11,13,13,12
372,6,12,13,14
373,14,11,16,15
374,6,12,6,10
375,8,7,7,7
376,7,12,14,9
377,7,16,7,17
