0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32,0,1,2,4,0,1,0,2,0,1,2,0,2,2,1,0,2,0,0,2,0,0,0,1,1,3,3,0,0,2,1,0,0,0
0,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,38,3,5,6,9,5,5,2,6,5,5,7,5,6,6,5,5,5,5,5,6,5,2,5,6,5,7,8,3,5,7,5,5,0,5
0,26,6,1,2,4,0,1,0,2,0,1,2,0,2,2,2,0,0,2,0,2,0,0,0,0,2,2,3,0,0,2,1,0,0,0
0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,40,4,6,9,9,6,6,5,8,6,6,9,6,6,9,6,6,6,8,5,7,7,4,6,8,7,6,11,5,6,6,8,6,5,1
0,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,41,5,7,11,9,8,7,8,10,6,8,10,8,7,11,7,7,7,10,7,10,7,5,8,9,7,12,8,8,7,9,9,7,4,5
1,37,3,5,7,7,6,5,3,5,5,5,7,5,6,6,5,5,5,5,5,6,5,2,5,6,5,7,8,3,5,5,5,6,2,1
0,28,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,34,1,3,4,4,2,2,2,2,1,4,3,1,4,3,3,1,3,3,2,3,1,0,2,3,3,4,4,0,3,3,3,1,0,0
0,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,33,2,3,4,4,2,2,0,4,0,6,1,3,3,3,3,1,3,3,1,3,2,0,2,2,4,3,5,0,3,3,3,1,0,0
0,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
