prob_transmission,,HCW related infections,Cumulative Patients
1e-05,0,1,448
1e-05,1,2,407
1e-05,2,1,379
1e-05,3,0,370
1e-05,4,1,427
1e-05,5,0,378
1e-05,6,0,431
1e-05,7,1,423
1e-05,8,0,473
1e-05,9,2,378
1e-05,10,0,392
1e-05,11,2,290
1e-05,12,2,410
1e-05,13,0,322
1e-05,14,0,333
1e-05,15,0,431
1e-05,16,0,453
1e-05,17,0,340
1e-05,18,3,323
1e-05,19,0,371
1e-05,20,3,377
1e-05,21,2,394
1e-05,22,1,408
1e-05,23,1,286
1e-05,24,0,391
1e-05,25,0,368
1e-05,26,4,345
1e-05,27,2,364
1e-05,28,0,403
1e-05,29,1,394
1e-05,30,0,340
1e-05,31,0,354
1e-05,32,2,396
1e-05,33,0,338
1e-05,34,1,373
1e-05,35,0,341
1e-05,36,0,304
1e-05,37,1,339
1e-05,38,0,433
1e-05,39,1,347
1e-05,40,0,286
1e-05,41,2,384
1e-05,42,0,321
1e-05,43,2,347
1e-05,44,0,387
1e-05,45,0,344
1e-05,46,1,451
1e-05,47,2,257
1e-05,48,0,445
1e-05,49,1,388
0.0001,0,10,433
0.0001,1,10,376
0.0001,2,11,397
0.0001,3,9,362
0.0001,4,7,363
0.0001,5,10,340
0.0001,6,11,458
0.0001,7,12,368
0.0001,8,13,324
0.0001,9,13,392
0.0001,10,18,341
0.0001,11,9,349
0.0001,12,9,400
0.0001,13,5,438
0.0001,14,15,449
0.0001,15,11,456
0.0001,16,6,499
0.0001,17,8,475
0.0001,18,6,461
0.0001,19,12,434
0.0001,20,10,393
0.0001,21,13,360
0.0001,22,9,407
0.0001,23,9,430
0.0001,24,10,381
0.0001,25,6,375
0.0001,26,8,429
0.0001,27,13,322
0.0001,28,13,360
0.0001,29,7,369
0.0001,30,10,385
0.0001,31,7,375
0.0001,32,17,402
0.0001,33,8,389
0.0001,34,10,400
0.0001,35,18,410
0.0001,36,5,466
0.0001,37,14,377
0.0001,38,5,320
0.0001,39,17,370
0.0001,40,18,388
0.0001,41,9,416
0.0001,42,7,397
0.0001,43,9,403
0.0001,44,9,396
0.0001,45,11,387
0.0001,46,11,354
0.0001,47,13,400
0.0001,48,8,456
0.0001,49,11,468
0.001,0,53,359
0.001,1,69,420
0.001,2,44,280
0.001,3,85,426
0.001,4,70,385
0.001,5,65,322
0.001,6,63,367
0.001,7,69,384
0.001,8,64,472
0.001,9,72,410
0.001,10,69,430
0.001,11,58,380
0.001,12,66,360
0.001,13,74,508
0.001,14,57,403
0.001,15,61,408
0.001,16,70,401
0.001,17,67,433
0.001,18,69,402
0.001,19,64,338
0.001,20,67,352
0.001,21,58,357
0.001,22,55,317
0.001,23,63,388
0.001,24,80,428
0.001,25,57,360
0.001,26,51,289
0.001,27,64,385
0.001,28,76,413
0.001,29,63,379
0.001,30,68,412
0.001,31,56,377
0.001,32,74,415
0.001,33,59,367
0.001,34,71,479
0.001,35,64,345
0.001,36,69,425
0.001,37,68,425
0.001,38,66,391
0.001,39,72,475
0.001,40,64,448
0.001,41,60,390
0.001,42,64,438
0.001,43,61,415
0.001,44,61,338
0.001,45,79,357
0.001,46,62,333
0.001,47,69,461
0.001,48,65,449
0.001,49,70,377
0.01,0,234,400
0.01,1,269,434
0.01,2,248,416
0.01,3,279,476
0.01,4,286,442
0.01,5,248,409
0.01,6,259,444
0.01,7,259,424
0.01,8,286,463
0.01,9,253,438
0.01,10,254,441
0.01,11,277,432
0.01,12,275,438
0.01,13,265,457
0.01,14,252,426
0.01,15,286,463
0.01,16,250,408
0.01,17,268,420
0.01,18,284,446
0.01,19,241,418
0.01,20,279,451
0.01,21,229,361
0.01,22,271,457
0.01,23,248,427
0.01,24,288,460
0.01,25,264,414
0.01,26,259,421
0.01,27,268,417
0.01,28,288,458
0.01,29,258,417
0.01,30,262,408
0.01,31,286,458
0.01,32,258,430
0.01,33,276,406
0.01,34,277,435
0.01,35,283,446
0.01,36,271,427
0.01,37,251,397
0.01,38,257,414
0.01,39,275,441
0.01,40,256,378
0.01,41,263,432
0.01,42,255,407
0.01,43,235,392
0.01,44,281,460
0.01,45,272,416
0.01,46,272,442
0.01,47,282,460
0.01,48,274,446
0.01,49,273,455
