,0.8,0.9,0.95,0.99
0,9,11,6,7
1,8,9,7,7
2,12,9,9,5
3,16,12,9,8
4,12,9,10,12
5,15,10,5,8
6,12,11,5,9
7,13,11,8,6
8,11,8,6,5
9,14,14,4,5
10,17,7,13,8
11,9,7,13,9
12,12,5,10,14
13,18,17,11,9
14,16,15,8,8
15,13,10,8,8
16,17,11,12,5
17,15,10,9,7
18,10,11,7,13
19,12,11,10,9
20,17,9,9,4
21,12,4,8,7
22,9,14,9,10
23,6,12,7,7
24,11,17,7,11
25,12,10,7,6
26,21,8,8,8
27,7,13,7,6
28,14,8,4,12
29,10,11,4,6
30,15,9,7,5
31,11,6,10,4
32,15,13,13,10
33,9,9,4,7
34,14,8,6,7
35,13,13,12,12
36,14,12,7,3
37,14,10,14,7
38,10,11,12,4
39,16,10,9,7
40,14,13,7,7
41,18,9,11,3
42,14,9,13,11
43,13,11,6,8
44,11,11,9,5
45,19,8,7,10
46,20,8,9,10
47,10,6,7,6
48,12,6,3,8
49,17,11,7,9
50,15,16,14,8
51,16,10,9,5
52,7,15,11,8
53,18,15,8,5
54,19,11,5,4
55,10,12,10,6
56,14,9,14,12
57,17,6,5,13
58,13,10,11,5
59,17,12,13,7
60,13,16,7,6
61,13,11,7,9
62,14,14,5,9
63,19,6,11,7
64,11,12,12,14
65,12,14,12,4
66,16,17,4,3
67,12,15,13,4
68,20,8,7,6
69,19,5,6,3
70,15,9,4,5
71,13,13,5,6
72,10,12,7,4
73,7,11,8,12
74,10,12,6,3
75,10,6,6,2
76,14,10,7,10
77,23,10,10,10
78,19,10,8,8
79,14,13,9,11
80,15,7,5,6
81,15,13,9,8
82,17,9,9,7
83,15,11,12,10
84,10,17,5,5
85,13,7,6,4
86,19,11,7,4
87,9,5,7,3
88,7,14,9,5
89,12,11,9,5
90,12,11,7,5
91,15,10,13,8
92,15,8,7,7
93,14,11,11,8
94,14,12,8,7
95,15,8,7,6
96,9,15,8,5
97,17,19,12,10
98,11,14,6,11
99,17,10,7,9
100,9,9,8,6
101,17,9,8,5
102,13,6,6,9
103,12,10,14,13
104,9,9,9,11
105,9,8,10,3
106,14,15,7,6
107,18,10,7,9
108,16,16,12,6
109,11,5,2,4
110,12,12,8,5
111,13,16,12,5
112,10,8,15,7
113,13,13,14,8
114,10,7,6,8
115,8,8,8,9
116,12,12,6,12
117,12,15,6,4
118,14,14,11,8
119,15,9,9,10
120,20,11,11,3
121,20,15,7,10
122,16,10,7,7
123,13,9,6,11
124,19,11,8,7
125,13,6,6,5
126,18,8,14,4
127,14,7,6,10
128,11,10,8,4
129,13,16,10,6
130,11,10,9,9
131,17,11,13,10
132,8,8,5,3
133,14,15,12,3
134,14,9,11,7
135,15,6,7,6
136,7,9,9,6
137,24,6,7,6
138,11,12,7,4
139,17,11,10,5
140,12,13,7,8
141,14,16,6,7
142,11,11,13,6
143,22,10,9,6
144,13,10,17,3
145,7,11,14,3
146,11,9,12,6
147,16,10,9,8
148,17,19,9,6
149,13,11,9,10
150,16,6,10,8
151,8,7,7,6
152,15,16,5,4
153,18,11,10,8
154,14,12,10,6
155,12,9,12,4
156,15,7,6,9
157,19,12,9,7
158,13,11,12,7
159,12,8,5,11
160,15,5,4,6
161,22,14,2,5
162,12,15,9,11
163,8,14,7,9
164,13,8,8,5
165,10,10,5,7
166,15,4,11,4
167,13,9,4,10
168,19,15,7,9
169,12,12,7,2
170,17,7,11,10
171,17,11,10,7
172,9,12,13,10
173,10,15,5,6
174,11,7,11,7
175,17,12,4,2
176,14,8,7,10
177,9,10,13,3
178,11,12,6,5
179,18,8,4,6
180,16,10,7,5
181,15,10,10,13
182,12,7,9,10
183,11,10,9,9
184,10,10,9,4
185,17,12,6,2
186,24,10,5,10
187,21,9,7,6
188,16,5,7,9
189,17,13,17,8
190,15,12,4,7
191,10,13,7,11
192,14,7,9,3
193,15,12,8,8
194,19,11,14,8
195,13,13,8,7
196,14,9,10,3
197,10,11,6,6
198,21,4,8,8
199,10,4,14,4
200,13,8,10,9
201,12,7,4,5
202,13,14,12,5
203,17,12,7,5
204,13,11,5,6
205,18,10,13,6
206,24,9,10,7
207,13,4,5,8
208,18,6,12,6
209,13,6,9,6
210,12,17,11,5
211,20,7,7,8
212,12,14,11,8
213,11,9,8,8
214,15,5,10,7
215,9,8,12,8
216,15,8,8,5
217,16,12,4,9
218,14,18,8,9
219,20,6,9,7
