prob_transmission,,HCW related infections,Cumulative Patients
0.0002,0,18,383
0.0002,1,21,369
0.0002,2,20,358
0.0002,3,18,343
0.0002,4,11,417
0.0002,5,18,338
0.0002,6,26,426
0.0002,7,24,452
0.0002,8,19,381
0.0002,9,24,414
0.0002,10,20,367
0.0002,11,17,384
0.0002,12,21,364
0.0002,13,16,359
0.0002,14,21,370
0.0002,15,18,399
0.0002,16,15,326
0.0002,17,25,377
0.0002,18,17,293
0.0002,19,25,314
0.0002,20,19,378
0.0002,21,20,319
0.0002,22,13,359
0.0002,23,16,437
0.0002,24,18,360
0.0002,25,15,255
0.0002,26,16,388
0.0002,27,23,399
0.0002,28,17,355
0.0002,29,20,300
0.0002,30,17,394
0.0002,31,16,401
0.0002,32,20,376
0.0002,33,15,377
0.0002,34,18,406
0.0002,35,28,383
0.0002,36,16,507
0.0002,37,22,389
0.0002,38,14,415
0.0002,39,19,390
0.0002,40,17,466
0.0002,41,20,364
0.0002,42,20,482
0.0002,43,21,386
0.0002,44,20,458
0.0002,45,17,379
0.0002,46,18,268
0.0002,47,20,430
0.0002,48,26,376
0.0002,49,27,404
0.0003,0,22,428
0.0003,1,28,361
0.0003,2,28,367
0.0003,3,24,353
0.0003,4,31,479
0.0003,5,23,377
0.0003,6,34,381
0.0003,7,27,357
0.0003,8,28,443
0.0003,9,26,345
0.0003,10,31,398
0.0003,11,30,424
0.0003,12,24,446
0.0003,13,34,456
0.0003,14,29,368
0.0003,15,24,408
0.0003,16,24,431
0.0003,17,26,365
0.0003,18,23,300
0.0003,19,21,442
0.0003,20,27,351
0.0003,21,24,442
0.0003,22,29,393
0.0003,23,24,403
0.0003,24,24,321
0.0003,25,21,367
0.0003,26,27,318
0.0003,27,24,327
0.0003,28,36,431
0.0003,29,29,304
0.0003,30,25,328
0.0003,31,20,360
0.0003,32,32,405
0.0003,33,26,387
0.0003,34,23,427
0.0003,35,33,443
0.0003,36,31,392
0.0003,37,30,487
0.0003,38,22,407
0.0003,39,34,457
0.0003,40,30,436
0.0003,41,24,378
0.0003,42,30,399
0.0003,43,28,384
0.0003,44,32,422
0.0003,45,27,346
0.0003,46,30,417
0.0003,47,23,338
0.0003,48,24,383
0.0003,49,31,373
0.0004,0,32,391
0.0004,1,27,347
0.0004,2,42,298
0.0004,3,38,405
0.0004,4,26,401
0.0004,5,40,434
0.0004,6,31,364
0.0004,7,36,387
0.0004,8,39,392
0.0004,9,33,373
0.0004,10,40,377
0.0004,11,40,386
0.0004,12,35,458
0.0004,13,31,389
0.0004,14,33,404
0.0004,15,32,386
0.0004,16,28,376
0.0004,17,34,371
0.0004,18,29,417
0.0004,19,31,358
0.0004,20,30,385
0.0004,21,32,343
0.0004,22,37,386
0.0004,23,28,344
0.0004,24,36,346
0.0004,25,32,448
0.0004,26,41,367
0.0004,27,47,425
0.0004,28,31,401
0.0004,29,37,407
0.0004,30,30,377
0.0004,31,34,413
0.0004,32,29,407
0.0004,33,34,394
0.0004,34,31,346
0.0004,35,32,362
0.0004,36,35,298
0.0004,37,32,411
0.0004,38,34,394
0.0004,39,28,301
0.0004,40,37,426
0.0004,41,33,376
0.0004,42,31,314
0.0004,43,34,343
0.0004,44,29,398
0.0004,45,35,401
0.0004,46,32,391
0.0004,47,42,402
0.0004,48,36,402
0.0004,49,28,473
