,0.8,0.95,0.99
0,53,0,0
1,55,0,8
2,30,0,3
3,18,8,0
4,10,1,1
5,40,16,0
6,79,5,3
7,75,0,1
8,89,4,1
9,17,10,5
10,20,2,0
11,43,2,12
12,22,10,1
13,58,7,1
14,17,2,2
15,25,0,0
16,26,15,8
17,65,14,0
18,48,2,4
19,49,10,2
20,25,4,1
21,34,0,0
22,36,0,1
23,59,7,0
24,1,0,0
25,16,2,3
26,46,21,4
27,51,7,0
28,18,1,1
29,30,2,0
30,63,0,11
31,83,2,8
32,41,20,1
33,6,2,6
34,33,0,3
35,87,3,6
36,81,0,5
37,3,3,1
38,27,21,9
39,62,2,1
40,40,1,0
41,14,4,5
42,28,2,0
43,41,11,6
44,49,0,2
45,0,1,1
46,42,4,0
47,58,1,1
48,18,22,7
49,60,9,8
